[Running] cd "c:\Users\kohlo\OneDrive\Documents\CSCI 331 Software Systems\Project 1\ZipCodeProjectCSCI331\" && g++ main.cpp -o main && "c:\Users\kohlo\OneDrive\Documents\CSCI 331 Software Systems\Project 1\ZipCodeProjectCSCI331\"main
State         Easternmost         Westernmost        Northernmost        Southernmost
------------------------------------------------------------------------------------------
AL               36856               36584              35739                36547
AK               99923               99546              99723                99546
AZ               86508               85349              86021                85620
AR               72310               72747              72733                71749
CA               92267               95536              95567                92173
CO               81047               81411              81653                81138
CT                6243                6831               6079                 6836
DE               19944               19716              19810                19975
DC               20019               20016              20012                20375
FL               33480               32568              32452                33040
GA               31328               30752              30751                31562
HI               96898               96769              96722                96772
ID               83238               83844              83826                83237
IL               60438               62379              60075                62914
IN               47003               47631              46530                47635
IA               52734               51001              52160                52632
KS               66118               67836              66955                66778
KY               41568               42050              41074                42049
LA               70081               71007              71075                70081
ME                4631                4261               4741                 3904
MD               21842               21531              21088                21866
MA                2643                1258               1913                 2564
MI               48061               49938              49918                49232
MN               55605               56740              56711                55931
MS               38847               39121              38671                39558
MO               63881               64496              63535                63829
MT               59319               59844              59484                59739
NE               68431               69352              69365                68325
NV               89034               89402              89404                89029
NH                3854                3466               3592                 3062
NJ                7620                8070               7827                 8212
NM               88135               88056              87418                88063
NY               11954               14736              12979                10307
NC               27982               28903              28631                28468
ND               58074               58621              58255                58043
OH               44438               45003              44030                45680
OK               74901               73946              74072                74747
OR               97842               97465              97121                97635
PA               18336               16155              16428                19351
RI                2837                2891               2824                 2807
SC               29566               29658              29356                29915
SD               57068               57724              57645                57049
TN               37680               38109              37119                37396
TX               75932               79821              79051                78522
UT               84534               84083              84331                84784
VT                5902                5734               5902                 5352
VA               23336               24248              22625                24580
WA               99402               98350              98231                98671
WV               25425               25555              26050                24884
WI               54246               54082              54850                53102
WY               82082               83120              82423                82321
